,Tier 1,Tier 1,Tier 2+,Tier 2,Tier 2,Tier 3
,Ranking Round,H2H,2x720/WA1440,Ranking Round,H2H,2x720/WA1440
1,300.00,450.00,600,200.00,300.00,300.00
2,240.00,360.00,480,160.00,240.00,240.00
3,210.00,315.00,420,140.00,210.00,210.00
4,189.00,283.50,378,126.00,189.00,189.00
5,177.00,265.50,344,118.00,177.00,177.00
6,168.00,252.00,336,112.00,168.00,168.00
7,159.00,238.50,318,106.00,159.00,159.00
8,150.00,225.00,300,100.00,150.00,150.00
9,141.00,181.75,282,94.00,121.25,141.00
10,135.00,181.75,270,90.00,121.25,135.00
11,129.00,181.75,258,86.00,121.25,129.00
12,123.00,181.75,246,82.00,121.25,123.00
13,117.00,181.75,234,78.00,121.25,117.00
14,111.00,181.75,222,74.00,121.25,111.00
15,108.00,181.75,216,72.00,121.25,108.00
16,105.00,181.75,210,70.00,121.25,105.00
17,102.00,119.25,204,68.00,79.50,102.00
18,99.00,119.25,198,66.00,79.50,99.00
19,96.00,119.25,192,64.00,79.50,96.00
20,93.00,119.25,186,62.00,79.50,93.00
21,90.00,119.25,180,60.00,79.50,90.00
22,87.00,119.25,174,58.00,79.50,87.00
23,84.00,119.25,168,56.00,79.50,84.00
24,81.00,119.25,162,54.00,79.50,81.00
25,78.00,119.25,156,52.00,79.50,78.00
26,75.00,119.25,150,50.00,79.50,75.00
27,72.00,119.25,144,48.00,79.50,72.00
28,69.00,119.25,138,46.00,79.50,69.00
29,66.00,119.25,132,44.00,79.50,66.00
30,63.00,119.25,126,42.00,79.50,63.00
31,60.00,119.25,120,40.00,79.50,60.00
32,57.00,119.25,114,38.00,79.50,57.00
33,54.00,38.00,108,36.00,25.25,54.00
34,51.00,38.00,102,34.00,25.25,51.00
35,48.00,38.00,96,32.00,25.25,48.00
36,45.00,38.00,90,30.00,25.25,45.00
37,42.00,38.00,84,28.00,25.25,42.00
38,40.50,38.00,81,27.00,25.25,40.50
39,39.00,38.00,78,26.00,25.25,39.00
40,37.50,38.00,75,25.00,25.25,37.50
41,36.00,38.00,72,24.00,25.25,36.00
42,34.50,38.00,69,23.00,25.25,34.50
43,33.00,38.00,66,22.00,25.25,33.00
44,31.50,38.00,63,21.00,25.25,31.50
45,30.00,38.00,60,20.00,25.25,30.00
46,28.50,38.00,57,19.00,25.25,28.50
47,27.00,38.00,54,18.00,25.25,27.00
48,25.50,38.00,51,17.00,25.25,25.50
49,24.00,38.00,48,16.00,25.25,24.00
50,22.50,38.00,45,15.00,25.25,22.50
51,21.00,38.00,42,14.00,25.25,21.00
52,19.50,38.00,39,13.00,25.25,19.50
53,18.00,38.00,36,12.00,25.25,18.00
54,16.50,38.00,33,11.00,25.25,16.50
55,15.00,38.00,30,10.00,25.25,15.00
56,13.50,38.00,27,9.00,25.25,13.50
57,12.00,38.00,24,8.00,25.25,12.00
58,10.50,38.00,21,7.00,25.25,10.50
59,9.00,38.00,18,6.00,25.25,9.00
60,7.50,38.00,15,5.00,25.25,7.50
61,6.00,38.00,12,4.00,25.25,6.00
62,4.50,38.00,9,3.00,25.25,4.50
63,3.00,38.00,6,2.00,25.25,3.00
64,1.50,38.00,3,1.00,25.25,1.50
